ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
1106 DRINKING SPOT,OPPOSITE MARY KOOMSON'S SALON,,AKAPORISO,OBUASI,,249270318,Beverage serving activities
12 APOSTLES CHURCH,OPPOSITE THE CHURCH OF PENTECOST,NANKABA STREET,ANYINAMFIE,OBUASI,,249512289,Activities of religious organizations
12 APOSTLES HEALING CHURCH,ONTHE HILL CLOSER TO THE MAIN ROAD,OBUASI-KUMASI MAIN ROAD,KUNKA,OBUASI,,231227768,Activities of religious organizations
2A'S BARBERING SALON,ADAJCENT SARFO SHOES SHOP,ANYINAM ROAD,ANYINAM,OBUASI,,540625403,Hairdressing and other beauty treatment
2B'S ENTERPRISE,OPPOSITE ST. THOMAS SCHOOL,BEATICE PRAH,NEW NSUTA,OBUASI,,243266234,"Retail sale of books, newspapers and stationary in specialized stores"
2CJ VENTURES,OPPOSITE MOANNE WATER CLOSET,A.G.A SCHOOL ROAD,KULAM,OBUASI,"P. O. BOX 84, OBUASI",244382164,Wholesale of metals and metal ores
3*3 SPOT,OPPOSITE THE BOREHOLE,O'SECTECH STREET,KOFFEKROM,OBUASI,,542808281,Beverage serving activities
6:PM FAST FOOD,BEHIND JUSBRO FILLING STATION,BIMSERE ROAD,KUNKA,OBUASI,,231950547,Restaurants and mobile food service activities
A- TONY HIRING SERVICES,ADJACENT VOLTIC MINERAL WATER STORE,OBUASI DUNKAW ROAD,BEDIEM,OBUASI,"P. O. BOX KP 364, KWAPIA",265400762,Renting and leasing of other personal and household goods
A. AYUR WELDER SHOP,ADJACENT TO VALUE JAY COMPANY LTD,,POMPOSO,POMPOSO,,240812655,Treatment and coating of metals; machining
A.K. ACQUAH ELECTRICALS,OPPOSITE SECONDARY TECHNICAL SCHOOL,ENEFEL ROAD,GAUSU,OBUASI,,NULL,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
A.P VENTURES,ADJACENT FELICIA'S STORE,BOGOBIRI ROAD,BOGOBIRI,OBUASI,,269113666,Other retail sale in non-specialized stores
AA ROYALS ENTERPRISE,BEHIND OBUASI ZONGO HIGH STREET,OBUASI HIGH STREET,NEW NSTUA,OBUASI,"P. O. BOX 308, OBUASI",244752425,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
AABSLOW COMPLEX CARE INTERNATIONAL LIMITED,OPPOSITE A.G.A SCHOOL,OBUASI HIGH STREET,KOFFEKROM,OBUASI,,502738381,Other education n.e.c.
AADIZA'S BOUTIQUE,PLOT NO. ZO 32A,108 OBUASI HIGH STREET,ZONGO,OBUASI,,NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
ABANDENDEN BOUTIQUE,OPPOSITE CHRIST THE KING SENIOR HIGH SCHOOL,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,268696643,"Retail sale of clothing, footwear and leather articles in specialized stores"
ABANDENEN ENTERPRISE,OPPOSITE AHMADYIYYA MUSLIM MOSQUE,,POMPOSO,POMPOSO,,247285889,Manufacture of glass and glass products
ABASS ELECTRONICS,BEHIND RUMMY'S RANCH RESTAURANT,OBUASI -KUMASI ROAD,KUNKA,OBUASI,,268015280,Repair of consumer electronics
ABDUL ENTERPRISE,JJ JUNCTION OPPOSITE DARU-SALAM MOSQUE,OBUASI HIGH TREET,NEW NSUTA,OBUASI,,249522702,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABDUL FITTING SHOP,ADJACENT STAR OIL FILLING STATION,AKAPORISO STREET,AKAPORISO,OBUASI,,245885003,Manufacture of structural metal products
ABEDNEGO BLESSING PHONES REPAIR,OPPOSITE HOUSE NO. 447 OBUASI CENTRAL,ABU BONSRA ROAD,OBUASI CENTRAL,OBUASI,,244271038,Repair of communication equipment
ABEE ENTERPRISE,BEHIND AVRIL KEOUGHAN CLINIC,,AKAPORISO,OBUASI,,242710539,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABENA AKYEMAA'S PROVISIONS STORE,BEHIND THE CHIEF'S PALACE,,BINSERE,OBUASI,,244523123,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABENA AMPOFUA'S SPARE PARTS SHOP,NEAR GOD FIRST MASTER EKOW PETROL AND DIESELFITTER,,BOGOBIRI,BOGOBIRI,,NULL,Sale of motor vehicle parts and accessories
ABENA APPIAH'S SHOP,ON THE BUILDING OF NYAME WO TUMI BICYCLE REPAIR,OBUASI HIGH STREET,GAUSU,OBUASI,,279124474,Retail sale of food in specialized stores
ABENA KATE'S STORE,"AT THE MARKET, OPPOSITE SISTER ABENA'S SALON",MARKET LANE,GAUSU,OBUASI,,NULL,Retail sale of food in specialized stores
ABENA MARY'S STORE,"GAUSU EXTENSION, ADJACENT ABUNDANT GRACE",CONFIDENCE ROAD,GAUSU,OBUASI,,271473861,Retail sale of food in specialized stores
ABENA NYARKO ENTERPRISE,ADJACENT CHIEF ZONGO'S PALACE,88 OBUASI HIGH,ZONGO,OBUASI,,549711131,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABENA NYARKO'S SHOP,BEHIND THE ROYAL PALACE,,SANSO,OBUASI,,NULL,Hairdressing and other beauty treatment
ABENA NYARKO'S STORE,"BEHIND TOWN HALL, STORE NO. 14",ANTWI SAMPA DRIVE,CENTRAL MARKET,OBUASI,,244685041,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABENA'S STORE,"BEHIND STATION BAR, STORE NO. 17",CENTRAL STREET,CNETRAL MARKET,OBUASI,,246409384,Other retail sale in non-specialized stores
