ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE NO.,EMAIL,SECTOR,SIZE,,,,
,,,,,,,,,,,,,
BOLE,,,,,,,,,,,,,
AAEAAR'S ENTERPRISE,NEAR HOSPITAL,,,BOLE,,0506981463,,SERVICE,A,,,,
AAHMEED MOHAMMED ENTERPRRISE,150M TO THE CHIEF'S PALACE,JAMA ROAD,,JAMA,,,,SERVICE,A,,,,
AALHASSAN MOHAMMED DDRUGS STORE,NEAR JAMA CENTRAL MOSQUE,,,JAMA,,,,SERVICE,A,,,,
ABASS AAUSAH TRADING VENTURES,CCLOE TO GALAMSEY LINE,GALAMSEY LINE,,DAKRUOPE,,,,SERVICE,A,,,,
ABASUMA KURA D/A PRIMARY SCHOOL,NEAR THE LORRY STATION,,,ABASUMA,"P. O.BOX 2, BOLE",,,SERVICE,A,,,,
ABDU-AZIZ DANIEL FREZE DOCTOR,OPPOSITE MARKET,,,SIMPUAYIRI,,0502647411,,SERVICE,A,,,,
ABDUHAMMED ENTERPRISE,,,BOLE,BOLE,"P.O. BOX 3, BOLE",,,SERVICE,A,,,,
ABDUL KARIM SEINI ENTERPRISE,OPPOSITE THE AREA MOSQUE,,,BOLE,,0273655203,,SERVICE,A,,,,
ABDUL RAHAMAN CARPENTRY WORKS,BY THE MAIN DAKRUPE LORRY STATION,GALAMSEY LINE,,DAKRUPE,,0245123710,,INDUSTRY,A,,,,
ABDUL RAHMAN ENTERPRISE,NEAR THE ROUND ABOUT,,,BOLE,,0507788181,,SERVICE,A,,,,
ABDUL RAZAK MOTOR PARTS,ADJACENT ALHAJI MOSHI MOSQUE,,,MANDARI,,0542377006,,SERVICE,A,,,,
ABDUL-RAHAMAN YUSSF ENTERPRISE,"AT THE MAIN JUNCTION, BOLE",,BOLE,BOLE,"P.O. BOX 84, BOLE",,,SERVICE,A,,,,
ABDULAI AMINU TAILORING SHOP,AT THE MARKET,,,SIMPUAYIRI,,0541818073,,INDUSTRY,A,,,,
ABDULAI ANTRAK BARBERING SALON,OPPOSITE THE KENKEY SELLER ON BOSEC ROAD,,,BOLE,,0243347045,,SERVICE,A,,,,
ABDULAI CASSETTE VENTURES,MANDARI STATION,,,MANDARI,,0543157257,,SERVICE,A,,,,
ABDULAI COLD STORE,NEAR WENCHI RURAL BANK,BOLE BAMBOI ROAD,BAMBOI,BAMBOI,,0543323824,,SERVICE,A,,,,
ABDULAI DARI COLD AND CEMENT STORE,NEAR OLD POLICE STATION,,,TINGA,,0204088860,,SERVICE,A,,,,
ABDULAI HAWA PROVISION SHOP,OPPOSITE MUM AND SON ELECTRICALS,,,MALEWU,,0248161750,,SERVICE,A,,,,
ABDULAI IDDISAH SHOP,OPPOSITE THE KENKEY SELLER ON BOSEC ROAD,,,BOLE,,0243347045,,SERVICE,A,,,,
ABDULAI KIOSK,INFRONT OF ABDULAI HOPUSE,,,JENTIGE,,0543156863,,SERVICE,A,,,,
ABDULAI LATIF BUTCHERING SHOP,INFRONT OF THE CHIEF PALACE,,,BANDA NKWANTA,,0244084450,,INDUSTRY,A,,,,
ABDULAI MAHAMA GRINDING MILL,BESIDES THE COMMUNICATION NETWORK POLE,,,MANKUMA,,,,INDUSTRY,A,,,,
ABDULAI MAIJIDAH STRAIGHTING AND WELDING SHOP,INSIDE UNION CENTRE,,,BOLE,,0243261288,,SERVICE,A,,,,
ABDULAI TAHIRU GOLD BUSINESS CENTRE,OPPOSITE SOLDIER BARACKS,,,BOLE,,0242526424,,INDUSTRY,A,,,,
ABIBA TAILORING SHOP,NEAR MR. OFORI HOUSE,,,TINGA,,0249483674,,INDUSTRY,A,,,,
ABIBA'S DRESSMAKING SHOP,IIN FRONT OF THE JAJAN DAMM BY THE MAIN ROAD,BOLE KUMASI ROAD,CUSTOMS BARRIE,KALAMPOBILE NO.1,,,,INDUSTRY,A,,,,
ABIBATY SULEMAN ENTERPRISE,INFRONT OF THE AREA MOSQUE,,,BOLE,,0269400014,,SERVICE,A,,,,
ABIGAIL FASHION SHOP,OPPOSITE YAGBON WASHING BAY,,,BOLE,,0545609495,,INDUSTRY,A,,,,
ABIJAN BOY ENTERPRISE,BAMBOI STATION,,,BOLE,,0242268950,,SERVICE,A,,,,
ABINA KABALA DANA BAR,NEAR BATURA HOUSE,,,TINGA,,0547063957,,SERVICE,A,,,,
ABM VENTURES,OPPOSITE BAND NKWANTA FOOTBAL PARK,ALONG BOLE BAMBOI ROAD,POLY DAGAABA,BANDA NKWANTA,"P. O.BOX 2, BOLE",0240446584,erasmus.oppana@yahoo.com,SERVICE,A,,,,
ABRAWAA ENTERPRISE,ADJACENT THE TOWN COUNCIL,,,BOLE,,,,SERVICE,A,,,,
ABRUWA ENTERPRISE,ADJACENT CENTRAL MOSQUE,,,BOLE,,0243718039,,SERVICE,A,,,,
ABSORBESS PROVISION SHOP,OPPOSITE BUS STOP,,,MALEWU,,0249808848,,SERVICE,A,,,,
ABU DARI PROVISION,OPPOSITE ASPECT BUILDING MATERIALS,,,BOLE,,0506671842,,SERVICE,A,,,,
ABU MUTULE GRINDING MILL,BEHIND CAC CHURCH,,,TINGA,,0202236301,,INDUSTRY,A,,,,
ABUBA ENTERPRISE,AT THE CENTRAL ROUND ABOUT,,,BOLE,,0246984762,,SERVICE,A,,,,
ABUBAKARI CHEMICAL SHOP,ADJACENT ABIJAN BOY SUB-STORE,,,BOLE,,0245891573,,SERVICE,A,,,,
ABUBAKARI ENTERPRISE,OPPOSITE EBENEZER GOLD MECHANT,,,BANDA NKWANTA,,0543824522,,SERVICE,A,,,,
ABUBAKARI HUSEINI BUSINESS CENTRE,OPPOSITE THE NPP OFFICE,,,BANDA NKWANTA,,0503663370,,SERVICE,A,,,,
ABUBAKARI KOTOMAH LICENCED CHEMICAL SELLER,MANGO LANE AFTER THE METHODIST CHURCH,,,BOLE,,0242223790,,SERVICE,A,,,,
ABUBAKARI PROVISION SHOP,CLOSE TO GALAMSEY LINE,GALAMSEY LINE,,DAKRUPE,,,,SERVICE,A,,,,
ABUBAKARI RASTO AND BROTHERS ENTERPRISE,DIRECTLY OPPOSITE GCB,,,BOLE,,0243622559,,SERVICE,A,,,,
ABUJA BOY ELECTRICALS STORE,NEAR FORGIT SPECIAL FOOD,BOLE-SAWLA ROAD,NYEMANGE,BOLE,,,,SERVICE,A,,,,
ABUSU ENTERPRISE,"BOLE LOCOST, BEHIND FIRE SERVICE BOL",,BOLE N/R,BOLE,"P.O.BOX 43,, BOLE N/R",,,SERVICE,A,,,,
ABUYAH ENTERPRISE,"ABU ELECT'S HOUSE MEMPE-ASEM, BOLE",,BOLE,BOLE,"P.O. BOX BL.89, BOLE",,,SERVICE,A,,,,
AC OKENU,OPPOSITE THE FOOTBALL FIELD,ALONG BOLE BAMBOI ROAD,POLY DAGAABA,BANDA NKWANTA,"P. O.BOX 2, BOLE",0241933052,,SERVICE,A,,,,
ACHI ARAGA SHOP,JUNCTION OPPOSITE YUDDIF'S SHOP,,,BOLE,,0246698558,,SERVICE,A,,,,
ADAM ABU ENTERPRISE,OPPOSITE THE CENTRAL MOSQUE,,,BANDA NKWANTA,,0247461421,,SERVICE,A,,,,
ADAM AMADU STORE,ADJACENT KPELEKUS HOUSE,,,MALUWE,,0248621859,,SERVICE,A,,,,
ADAM AMADU STORE,AT KPELEKU'S ADAM HOUSE,,,MALUWE,,0248621859,,SERVICE,A,,,,
ADAM HANIS BARBERING SALON,NEAR THE CENTRAL MOSQUE,BOLE BAMBOI HIGH ROAD,BAMBOI,BAMBOI,,0544928494,,SERVICE,A,,,,
ADAM MAHAMUD B VENTURES,NEAR OLD NURSE QUARTERS,,,BOLE,,0243416370,,SERVICE,A,,,,
ADAM YUSSIF STORE,OPPOSITE THE LIBRARY,,,BOLE,,0507372290,,SERVICE,A,,,,
ADAM'S CORNMILL CENTRE,OPPOSITE LANGES HOUSE,,,MANKUMA,,,,INDUSTRY,A,,,,
