ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,PHONE,EMAIL,SECTOR,SIZE,
,,,,,,,,,,
BUILSA NORTH,,,,,,,,,,
3COM MEDICAN AND LABORATORY,BY KAPETO WELDING SHOP AISSAH BOLLA,MARKET ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,0542928383,,SERVICE,A,
A.A IDRISU AUTO ELECTRICALS SHOP,ADJACENT SANDEMA COMMUNITY CENTRE,SANDEMA COMMUNITY CENTRE AREA ROAD,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0200606120,,SERVICE,A,
ABAALA WASHING BAY,OPPOSITE THE DAM ON SANDEMA A WIAGA ROAD,SANDEMA WIAGA ROAD,ABELIYIRI,SENDEMA CENTRAL,,0242789018,,SERVICE,A,
ABAALIE INGREDENT STORE,IN THE MARKET,ABEL YERI MARKET ROAD,MARKET ABEL YERI,SENDEMA CENTRAL,,0544281974,,SERVICE,A,
ABAAPOK STORE,BY THE HOSPITAL FENCE BEFORE THE HOSPITAL GATE,HOSPITAL ROAD,BALANSA,SENDEMA CENTRAL,,,,SERVICE,A,
ABANGMA DRINKING SPOT,ADJACENT AKAJARA'S HOUSE,SANDEMA NAVRONGO ROAD,AZUGUYERI,CHUCHULIGA CENTRAL,"P. O. BOX 29, CHUCHULIGA",0544560499,,SERVICE,A,
ABANGMA DRINKING SPOT,ADJCENT AKAJARA'S HOUSE,SADEMA NAVRONGO ROAD,AZUGUYERI,CHUCHULIGA CENTRAL,"P. O. BOX 29, CHUCHULIGA",0544560499,,SERVICE,A,
ABASIMI REBECCA ENTERPRISE,ABAASIMIYERI ADJACENT SULE HOUSE,"WIAGA KADEMA ROAD,YIPAALA",YISOBSA,WIAGA-YEMONSA,,0542219293,,SERVICE,A,
ABENA ALUIWENS CHOP BAR,MARKET SQUARE,MARKET ROAD,YISOBSA,WIAGA CENTRAL,,,,SERVICE,A,
ABENA AZOGMI DRINKING BAR,20 METERS OPPOSITE ABENA AZOGMI STORE,KOBDEMA KALIJISA ROAD,KOBDEMA,SANDEMA KOBDEMA,,,,SERVICE,A,
ABENA AZOGMI STORE,200 METERS AWAY FROM FISTRAD AND OPPOSITE ABENA BAR,KOBDEMA KALIJISA ROAD,KOBDEMA,SANDEMA KOBDEMA,,,,SERVICE,A,
ABENA BOAME DRINKING SPOT,SINENSI STATION,SINENSI STATION,BALANSA,SENDEMA CENTRAL,,,,SERVICE,A,
ABENA TAILORING SHOP,BY THE FERTILIZER HOUSE,WIAGA-KADEMA ROAD,BANYANGSA-LANBORINGSA,KADEMA-BANYANGSA,,0502215321,,INDUSTRY,A,
ABETINYA GRINDING MILL,WIAGA FUMBISI MAIN ROAD CRY YOUR OWN CRY BAR,FUMBISI ROAD,ZONGO,GBEDEMA-ZONGO,,,,INDUSTRY,A,
ABII WOOD CUTTING AND SALE SHOP,OPPOSITE THE DISTRCT ASSEMBLY,SANDEMA WIAGA ROAD,ABELIYIRI,SENDEMA CENTRAL,,0246201798,,SERVICE,A,
ABII'S PAINT SHOP,BEHIND COMMUNITY CENTRE,SANDEMA COMMUNITY CENTRE ROAD,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0208785146,,SERVICE,A,
ABINBANA LUCY STORE,IN THE MARKET KADEMA,KAADEMA MARKET ROAD,KADEMA-LANBORINSA,KADEMA-BANYANGSA,,0508900507,,SERVICE,A,
ABUGANDE PAUL'S WELDING SHOP,OPPOSITE MORDESTER'S DRINKING BAR,ALONG THE MISSION ROAD,YESOBSA,WIAGA-YEMONSA,,0544068183,,INDUSTRY,A,
ACHAAMALIE DRINKING BAR,OPPOSITE WISKEY PITO BASE,ALONG NAVRONGO ROAD,ABELIYIRI,SENDEMA CENTRAL,,0549129882,,SERVICE,A,
ACHALGABS ENTERPRISE,SINENSI STATION BY ABENA BOAME DRINKING SPOT,HOSPITAL ROAD,BALANSA,SENDEMA CENTRAL,"P. O. BOX 20, WIAGA NAVRONGO",0208280399,,SERVICE,A,
ACHANYERA GOAYIE PRIMARY,IN THE HEART OF GOAYIE,CHUCHULIGA GOAYIE ROAD,GOAYIE,ACHANYERA-GOAYIE,"P. O. BOX 29, SANDEMA",0208676841,,SERVICE,A,
ACHANYERI JAATA PRIMARY SCHOOL,OPPOSITE ACHANYERI PENTECOSTAL CHURCH,ACHANYERI VAASAYERI NAMONSA ROAD,VAASAYERI,KORRI ALAB YERI,"P. O. BOX 20, SANDEMA",0502329931,,SERVICE,A,
ACHEAMPONG'S SHOP,OPPOSITE AKAJARAIS HOUSE,,AZUGUYERI,CHUCHULIGA CENTRAL,,0248992892,,INDUSTRY,A,
ACHEGIBA PITO BASE,ADJACENT SANDEMA MTN OFFICE,SANDEMA WIAGA ROAD,ABILIYERI,SENDEMA CENTRAL,,0546715551,,SERVICE,A,
ACHUG YERI KINDERGATEN SCHOOL,OPPOSITE GOOD NEWS BIBLE CHURCH,SANDEMA KORRI AKAG ROAD,ACHUG YERI,SANDEMA AWUSUYERI,"P. O. BOX 10, SANDEMA",0249225461,,SERVICE,A,
ADAAWEN ENT,OPPOSITE DAN DE GA ICT CENTRE,SANDEMA NAVRONGO ROAD,ABILIYERI,SENDEMA CENTRAL,"P. O. BOX 33, SANDEMA",0545052927,,SERVICE,A,
ADABIAKLIE HAIRDRESSING SALON,OPPOSITE MATIASI HOTEL,ALONG SANDEMA WIAGA ROAD,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0547128062,,SERVICE,A,
ADAMA AND SONS SUPERMARKET,ADJACENT ZEBRA BAR,ZEBRA BAR,ABILIYERI,SENDEMA CENTRAL,,0246208096,,SERVICE,A,
ADEAZE DRINKING SPOT,OPPOSITE ADABIAK HOUSE,SANDEMA WIAGA ROAD,SUWENRESA,SENDEMA CENTRAL,,0545511829,,SERVICE,A,
ADEENZE KOJO STORE,SINIENSI MARKET,SANDEMA SINIENSI ROAD,SANDEMA GUUTA,SENDEMA CENTRAL,,0245140778,,SERVICE,A,
ADINSEY CHRISTOPHER PROVISIONS SHOP,ADJACENT OPUS DEI MEDICAL CENTRE,SANDEMA WIAGA ROAD,SUWARENSA NDAASA,SENDEMA CENTRAL,,0242882730,,SERVICE,A,
ADJOA SAPAATO PITO BASE,BY MR BROWN'S HOUSE,SINIENSI ROAD,ABELIYERI,SENDEMA CENTRAL,,,,INDUSTRY,A,
ADJUIK PROVISION STORE,BY THE CENTRAL MOSQUE,CHARCOAL MARKET ROAD,MARKET ABELIYERI,SENDEMA CENTRAL,,0549362919,,SERVICE,A,
ADJUIKLIE PROVISION STORE,NEAR THE OLD SCHOOL,THE OLD SCHOOL ROAD,GBEDEMA ZONGO,GBEDEMA-ZONGO,,0203104367,,SERVICE,A,
ADOM NO NTI ENTERPRISE,OPPOSITE INDEPENDENCE SQUARE,WIAGA LORRY STATION ROAD,YISOBSA,WIAGA CENTRAL,,0249916996,,SERVICE,A,
AFIA TAILORING SHOP,BY WORKERS CANTEEN,PRESBY CBR BUSINESS CENTER ROAD,SANDEMA TOWN,SENDEMA CENTRAL,,0245955757,,INDUSTRY,A,
AFIIK DRINKING BAR,MARKET SQUARE,MARKET ROAD,YISOBSA,WIAGA CENTRAL,,0544220433,,SERVICE,A,
AFOKO JUNIOR HIGH SCHOOL,ABOUT 200M OPPOSITE ELECTRAL COMMISSION,SANDEMA CHUCHULIGA ROAD,TAKUNGSA,BILINSA TANKUNGSA,"P. O. BOX 10, SANDEMA",,,SERVICE,A,
AFOKO PRIMARY SCHOOL,OPPOSITE ELECTORAL COMMISSION,SANDEMA CHUCHULIGA ROAD,TANKUNSA,BILINSA TANKUNGSA,"P. O. BOX 10, SANDEMA",0506231493,,SERVICE,A,
