,,,,,,,,,,
ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE,EMAIL,SECTOR,SIZE,
,,,,,,,,,,
WA WEST,,,,,,,,,,
500KYILE ENTERPRISE,KYILE'S HOUSE 800 METERS TO RIVER MANI,,,KANTU,,,,SERVICE,A,
A BA SENG NAAGMEEN EEBO VENTURES,INSIDE DABO MARKET,,DABO,DABO,,0265023139,,SERVICE,A,
A RAZMAR PHARMACY,INSIDE DORIMON OLD MARKET,,OLD MARKET,DORIMON,,0242234906,,SERVICE,A,
A.S RASHID ENTERPRISE,BY JACOB FUEL STATION,,,WECHIAU,"P.O.BOX 569, WECHIAU",0244121397,,SERVICE,A,
ABDUL-HAMID CHEMICALS SHOP,KANDEU MUSIRIBILE,,,KANDEU,,,,SERVICE,A,
ABDULAI CHEMICAL SHOP,ADJACENT LORRY STATION,,,WECHIAU,,0241725238,,SERVICE,A,
ABOTARE YE FASHION CENTRE,OPPOSITE ESTHER'S SHOP ALONG KUMASI ROAD,,PONYANTANGA,PONYANTANGA,,,,INDUSTRY,A,
ABRAHAM SHOP,KPILA CHARIA ROAD IN FRONT OF HOUSE KL 0015,,,KPILA,,,,SERVICE,A,
ABU ENTERPRISE,BY THE ROAD SIDE,,,NYOLI,,,,SERVICE,A,
ABU FILLING STATION,BESIDE THE AGRIC WARE HOUSE,WECHIAU ROAD,BUNDA YIIRI,DORIMON,,0243625318,,SERVICE,A,
ABU FUEL SHOP,ALONG THE PASE ROAD OPPOSITE THE AREA COUNCIL,PASE ROAD,NAAYIRI,DORIMON,,0244948751,,SERVICE,A,
ABU GRINDING MILL,KANDEU KONTA,,,KANDEU,,,,INDUSTRY,A,
ABU GRINDING MILL,DOBANAAYIRIM HOUSE NO SW 0018,,,SUOMAA,,,,INDUSTRY,A,
ABU KORA MASONRY,OPPOSITE BUDA YIRI MOSQUE,PASE ROAD,BUDA YIRI,DORIMON,,0540531816,,INDUSTRY,A,
ABU STORE,ALONG SIIRA ROAD OPPOSITE THE BORE HOLE,SIIRA ROAD,,DABO,,0261732817,,SERVICE,A,
ABU TAILORING SHOP,DIRECTLY BEHIND ANAS ENTERPRISE ALONG DORIMOND ROAD,,TANVAARI,TANVAARI,,0578667439,,INDUSTRY,A,
ABU VIDEO SHOP,WECHIAU CENTRAL MARKET,WEHIAU CENTRAL MARKET,WECHIAU,WECHIAU,,0263235808,,SERVICE,A,
ABU ZAIDU MOTOR SPARE PARTS,OLD MARKET FACING THE WECHIAU ROAD,WECHIAU ROAD,ZONGO,DORIMON,,0266986153,,SERVICE,A,
ABUDI ENTERPRISE,ADJACENT PONYANTANGA MARKET KUMASI ROAD,,PONYANTANGA,PONYANTANGA,,0543309061,,SERVICE,A,
